externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore,elo_a_before,elo_b_before,diff_elo,elo_expected_prob_a
NB270280726,2026-07-28 10:51:00+00:00,False,Los Angeles Lakers,Boston Celtics,DEFIANT,COMBO,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,61.0,64.0,1489.5472993596065,1480.8089755835563,8.738323776050265,0.5125728078473799
NB120280726,2026-07-28 10:55:00+00:00,False,Orlando Magic,Denver Nuggets,MARKSMAN,ALLFATHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,45.0,36.0,1622.2395542480992,1464.908187351432,157.3313668966673,0.7121137350637461
NB121280726,2026-07-28 10:59:00+00:00,False,Denver Nuggets,Orlando Magic,UNFORGIVEN,UNBREAKABLE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,48.0,54.0,1529.7757723077095,1470.963114097112,58.81265821059742,0.5838389562454017
NB122280726,2026-07-28 11:03:00+00:00,False,Memphis Grizzlies,Cleveland Cavaliers,REND,PUNISHER,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,67.0,45.0,1336.545264462124,1379.329805712968,-42.784541250844086,0.43873745295223465
NB123280726,2026-07-28 11:15:00+00:00,False,Los Angeles Lakers,Boston Celtics,CHIEF,HYPER,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,63.0,73.0,1512.9135311961893,1580.2714616522503,-67.35793045606101,0.4042606450849743
NB124280726,2026-07-28 11:19:00+00:00,False,Miami Heat,Brooklyn Nets,SHELL,TD24,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,51.0,49.0,1596.613466004173,1598.073762879995,-1.4602968758219959,0.4978984762390214
NB271280726,2026-07-28 11:23:00+00:00,False,Toronto Raptors,Chicago Bulls,DEFIANT,SMOG,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,56.0,67.0,1483.2498374331503,1570.8901964788247,-87.64035904567436,0.3764840976566216
NB126280726,2026-07-28 11:27:00+00:00,False,Cleveland Cavaliers,Milwaukee Bucks,ARCHER,ALLFATHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,55.0,40.0,1566.28387466437,1459.0334133445085,107.25046131986142,0.6496231836024863
NB127280726,2026-07-28 11:31:00+00:00,False,New York Knicks,Los Angeles Lakers,UNFORGIVEN,HARLEM,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,44.0,66.0,1519.7071422661302,1493.8381507751913,25.868991490938924,0.5371598273936073
NB128280726,2026-07-28 11:35:00+00:00,False,Los Angeles Lakers,Oklahoma City Thunder,ORDER,ABYSS,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,42.0,47.0,1461.5470866022201,1283.7626182544443,177.78446834777583,0.7356362288306723
