externalId,startDate,isCancelled,teamAName,teamBName,participantAName,participantBName,streamName,tournamentName,matchStatus,teamAScore,teamBScore
NB236190826,2026-08-19 21:07:00+00:00,False,New York Knicks,Boston Celtics,TAAPZ,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,47.0,56.0
NB237190826,2026-08-19 21:11:00+00:00,False,Miami Heat,Toronto Raptors,KARMA,HUNCHO,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,67.0,65.0
NB238190826,2026-08-19 21:15:00+00:00,False,Miami Heat,Brooklyn Nets,OREZ,MARINE,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,44.0,51.0
NB239190826,2026-08-19 21:19:00+00:00,False,Memphis Grizzlies,Cleveland Cavaliers,MYTH,NIGHTHAWK,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,58.0,51.0
NB240190826,2026-08-19 21:23:00+00:00,False,Oklahoma City Thunder,Boston Celtics,GENERAL,PATIENCE,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,47.0,45.0
NB241190826,2026-08-19 21:27:00+00:00,False,Boston Celtics,Oklahoma City Thunder,SIGNAL,AZURE,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,51.0,55.0
NB242190826,2026-08-19 21:39:00+00:00,False,Boston Celtics,New York Knicks,BULLSEYE,TAAPZ,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,55.0,58.0
NB243190826,2026-08-19 21:43:00+00:00,False,Miami Heat,Brooklyn Nets,KARMA,OCEAN,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,52.0,56.0
NB244190826,2026-08-19 21:47:00+00:00,False,New York Knicks,Oklahoma City Thunder,OREZ,HORROR,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,58.0,64.0
NB245190826,2026-08-19 21:51:00+00:00,False,Charlotte Hornets,Dallas Mavericks,MYTH,CYPHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,36.0,59.0
NB246190826,2026-08-19 21:55:00+00:00,False,Dallas Mavericks,Denver Nuggets,GENERAL,KOBRA,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,61.0,51.0
NB247190826,2026-08-19 21:59:00+00:00,False,Milwaukee Bucks,Phoenix Suns,SIGNAL,STING,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,37.0,46.0
NB248190826,2026-08-19 22:11:00+00:00,False,Boston Celtics,Oklahoma City Thunder,BULLSEYE,CURSE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,50.0,59.0
NB249190826,2026-08-19 22:15:00+00:00,False,Toronto Raptors,Chicago Bulls,HUNCHO,CALAMITY,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,54.0,51.0
NB250190826,2026-08-19 22:19:00+00:00,False,Brooklyn Nets,Toronto Raptors,MARINE,UNDERRATED,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,50.0,59.0
NB251190826,2026-08-19 22:23:00+00:00,False,Cleveland Cavaliers,Milwaukee Bucks,NIGHTHAWK,SILVER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,54.0,58.0
NB252190826,2026-08-19 22:27:00+00:00,False,Boston Celtics,Los Angeles Lakers,PATIENCE,FURY,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,59.0,44.0
NB253190826,2026-08-19 22:31:00+00:00,False,Oklahoma City Thunder,Los Angeles Lakers,AZURE,PHARAOH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,56.0,54.0
NB254190826,2026-08-19 22:43:00+00:00,False,New York Knicks,Oklahoma City Thunder,TAAPZ,CURSE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,41.0,40.0
NB255190826,2026-08-19 22:47:00+00:00,False,Miami Heat,Chicago Bulls,KARMA,CALAMITY,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,56.0,49.0
NB256190826,2026-08-19 22:51:00+00:00,False,New York Knicks,Boston Celtics,OREZ,UNDERRATED,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,39.0,53.0
NB257190826,2026-08-19 22:55:00+00:00,False,Charlotte Hornets,Denver Nuggets,MYTH,SILVER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,43.0,51.0
NB258190826,2026-08-19 22:59:00+00:00,False,Dallas Mavericks,Orlando Magic,GENERAL,FURY,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,56.0,44.0
NB259190826,2026-08-19 23:03:00+00:00,False,Milwaukee Bucks,Memphis Grizzlies,SIGNAL,PHARAOH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,46.0,51.0
NB260190826,2026-08-19 23:15:00+00:00,False,New York Knicks,Boston Celtics,TAAPZ,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,56.0,59.0
NB261190826,2026-08-19 23:19:00+00:00,False,Toronto Raptors,Brooklyn Nets,HUNCHO,OCEAN,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,55.0,48.0
NB262190826,2026-08-19 23:23:00+00:00,False,Brooklyn Nets,Chicago Bulls,MARINE,HORROR,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,47.0,49.0
NB263190826,2026-08-19 23:27:00+00:00,False,Cleveland Cavaliers,Phoenix Suns,NIGHTHAWK,CYPHER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,63.0,66.0
NB264190826,2026-08-19 23:31:00+00:00,False,Boston Celtics,New York Knicks,PATIENCE,KOBRA,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,61.0,52.0
NB265190826,2026-08-19 23:35:00+00:00,False,Oklahoma City Thunder,New York Knicks,AZURE,STING,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,46.0,48.0
NB266190826,2026-08-19 23:47:00+00:00,False,Denver Nuggets,Dallas Mavericks,CURSE,TAAPZ,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,42.0,54.0
NB267190826,2026-08-19 23:51:00+00:00,False,Charlotte Hornets,Orlando Magic,OCEAN,CALAMITY,Ebasketball 2,Ebasketball H2H GG League,MATCH_ENDED,53.0,64.0
NB268190826,2026-08-19 23:55:00+00:00,False,Chicago Bulls,Toronto Raptors,HORROR,UNDERRATED,Ebasketball 3,Ebasketball H2H GG League,MATCH_ENDED,56.0,62.0
NB269190826,2026-08-19 23:59:00+00:00,False,Phoenix Suns,Milwaukee Bucks,CYPHER,SILVER,Ebasketball 4,Ebasketball H2H GG League,MATCH_ENDED,68.0,60.0
NB001200826,2026-08-20 00:03:00+00:00,False,New York Knicks,Los Angeles Lakers,KOBRA,FURY,Ebasketball 5,Ebasketball H2H GG League,MATCH_ENDED,42.0,44.0
NB002200826,2026-08-20 00:07:00+00:00,False,New York Knicks,Los Angeles Lakers,STING,PHARAOH,Ebasketball 6,Ebasketball H2H GG League,MATCH_ENDED,59.0,37.0
NB003200826,2026-08-20 00:19:00+00:00,False,Denver Nuggets,Charlotte Hornets,CURSE,BULLSEYE,Ebasketball 1,Ebasketball H2H GG League,MATCH_ENDED,46.0,60.0
